customer_id,age,gender,country,preferred_channel,loyalty_tier,registration_date,last_purchase_days_ago,total_purchases,avg_order_value,email_open_rate,app_sessions_30d,returns_rate,support_tickets_12m,nps_score,omnichannel_flag,preferred_brand,preferred_category,total_revenue,churned
CUST_00000,56,M,France,email_campaign,Silver,2025-08-22,303,14,26.56,0.045,44,0.482,5,0.0,0,Uniqlo,Dresses,371.84,1
CUST_00001,46,M,Portugal,instagram_shop,Silver,2026-02-15,35,22,60.17,0.043,3,0.179,3,8.0,0,Uniqlo,Bags,1323.74,0
CUST_00002,32,NB,France,physical_store,Bronze,2024-09-21,205,48,200.73,0.132,52,0.1,7,9.0,0,H&M,Outerwear,9635.04,0
CUST_00003,60,F,Italy,loyalty_program,Bronze,2024-11-22,266,51,60.68,0.127,36,0.134,1,3.0,1,Stradivarius,Jewelry,3094.68,0
CUST_00004,25,M,France,physical_store,Bronze,2025-01-05,65,11,128.71,0.509,46,0.051,2,6.0,1,COS,Tops,1415.81,0
CUST_00005,38,F,Brazil,physical_store,Bronze,2025-06-26,98,59,50.55,0.116,6,0.237,1,1.0,1,Zara,Jewelry,2982.45,0
CUST_00006,56,M,Netherlands,email_campaign,Silver,2025-09-10,185,14,395.79,0.549,55,0.102,7,8.0,0,Reserved,Underwear,5541.06,0
CUST_00007,36,F,UK,physical_store,Gold,2025-10-11,238,7,22.25,0.299,47,0.129,7,9.0,0,Bershka,Dresses,155.75,1
CUST_00008,40,M,Spain,ecommerce,Bronze,2023-11-25,266,69,11.08,0.395,16,0.149,6,9.0,1,Reserved,Bags,764.52,0
CUST_00009,28,F,Brazil,physical_store,Silver,2026-02-01,232,58,111.72,0.112,9,0.165,0,0.0,0,Uniqlo,Bottoms,6479.76,1
CUST_00010,28,F,UK,physical_store,Bronze,2026-02-05,109,40,98.29,0.108,42,0.055,5,1.0,1,Pull&Bear,Bags,3931.6,0
CUST_00011,41,F,Netherlands,ecommerce,Bronze,2025-09-28,178,25,12.85,0.716,13,0.185,5,4.0,0,H&M,Dresses,321.25,0
CUST_00012,53,F,Brazil,email_campaign,Platinum,2025-01-15,249,78,48.47,0.349,54,0.073,7,3.0,1,Zara,Accessories,3780.66,0
CUST_00013,57,F,Germany,mobile_app,Silver,2024-12-17,324,42,229.6,0.305,55,0.44,4,8.0,1,Pull&Bear,Bags,9643.2,1
CUST_00014,41,M,Brazil,instagram_shop,Silver,2023-06-08,360,44,111.5,0.149,44,0.28,0,4.0,0,Mango,Bags,4906.0,0
CUST_00015,20,F,Portugal,email_campaign,Bronze,2026-02-12,5,5,15.89,0.068,17,0.312,3,7.0,1,Bershka,Bottoms,79.45,1
CUST_00016,39,M,Italy,physical_store,Bronze,2025-02-24,157,28,10.78,0.041,48,0.052,7,1.0,1,Zara,Jewelry,301.84,1
CUST_00017,19,F,Spain,mobile_app,Bronze,2023-11-30,230,76,199.22,0.394,8,0.057,7,8.0,0,COS,Tops,15140.72,1
CUST_00018,41,F,Poland,instagram_shop,Bronze,2025-01-11,116,60,27.68,0.1,58,0.09,0,6.0,0,H&M,Underwear,1660.8,0
CUST_00019,61,F,UK,instagram_shop,Bronze,2023-10-01,261,77,118.46,0.45,15,0.213,5,1.0,1,Reserved,Outerwear,9121.42,1
CUST_00020,47,F,France,instagram_shop,Gold,2024-09-15,316,21,96.42,0.346,8,0.076,2,4.0,1,H&M,Bags,2024.82,1
CUST_00021,55,F,Spain,ecommerce,Bronze,2026-03-25,321,49,53.55,0.126,10,0.051,3,10.0,0,COS,Bags,2623.95,1
CUST_00022,19,F,Poland,ecommerce,Bronze,2025-05-16,127,56,29.98,0.384,26,0.425,0,3.0,0,Massimo Dutti,Dresses,1678.88,0
CUST_00023,38,F,Netherlands,mobile_app,Silver,2023-11-24,28,57,179.86,0.265,29,0.009,0,0.0,0,COS,Underwear,10252.02,0
CUST_00024,50,F,Brazil,physical_store,Gold,2024-05-11,339,61,9.07,0.265,13,0.115,1,9.0,1,Mango,Sportswear,553.27,1
CUST_00025,29,F,Poland,mobile_app,Platinum,2024-09-15,228,38,131.22,0.635,13,0.163,4,6.0,1,Stradivarius,Tops,4986.36,0
CUST_00026,39,F,Germany,physical_store,Gold,2025-05-24,129,73,42.11,0.19,28,0.085,6,7.0,1,H&M,Footwear,3074.03,0
