transaction_id,customer_id,date,season,brand,category,channel,quantity,unit_price,discount_applied,total_amount,returned
TXN_660625,CUST_06073,2026-04-18,FW24,Mango,Dresses,loyalty_program,5,39.14,0.12,172.22,0
TXN_327197,CUST_05852,2024-06-12,SS23,Massimo Dutti,Outerwear,instagram_shop,3,54.5,0.14,140.61,0
TXN_207786,CUST_03199,2024-07-25,SS24,Bershka,Tops,email_campaign,5,195.88,0.29,695.37,0
TXN_492843,CUST_07444,2026-03-18,FW23,Uniqlo,Dresses,ecommerce,4,232.45,0.37,585.77,0
TXN_801444,CUST_00517,2026-04-08,FW23,H&M,Bottoms,loyalty_program,1,107.75,0.08,99.13,0
TXN_438354,CUST_04604,2026-03-22,FW23,COS,Outerwear,email_campaign,4,158.62,0.33,425.1,0
TXN_439075,CUST_01422,2025-02-22,SS23,Pull&Bear,Accessories,ecommerce,1,77.39,0.04,74.29,0
TXN_391983,CUST_05324,2025-10-01,SS24,Zara,Dresses,mobile_app,4,73.82,0.26,218.51,0
TXN_847143,CUST_04392,2025-07-02,FW23,Reserved,Dresses,email_campaign,5,154.87,0.4,464.61,0
TXN_827418,CUST_01088,2024-07-29,SS24,Mango,Accessories,loyalty_program,4,206.58,0.39,504.06,0
TXN_570717,CUST_03132,2026-02-26,FW23,Massimo Dutti,Jewelry,loyalty_program,3,15.11,0.36,29.01,0
TXN_423851,CUST_01936,2025-09-10,FW24,Uniqlo,Jewelry,ecommerce,1,188.73,0.36,120.79,0
TXN_494000,CUST_01674,2025-12-17,SS23,Uniqlo,Jewelry,instagram_shop,3,154.62,0.08,426.75,0
TXN_141531,CUST_04266,2025-12-20,FW24,Reserved,Tops,mobile_app,3,102.08,0.31,211.31,0
TXN_797309,CUST_02034,2025-05-21,FW23,COS,Underwear,email_campaign,2,69.68,0.02,136.57,0
TXN_615524,CUST_00573,2025-10-31,FW23,Zara,Bottoms,mobile_app,4,192.63,0.03,747.4,0
TXN_314300,CUST_01935,2026-02-02,SS23,Pull&Bear,Sportswear,physical_store,2,181.85,0.33,243.68,0
TXN_417824,CUST_02337,2025-10-16,FW24,Uniqlo,Footwear,instagram_shop,2,132.95,0.24,202.08,0
TXN_543230,CUST_04139,2025-05-03,FW24,Mango,Sportswear,ecommerce,4,119.53,0.19,387.28,0
TXN_724094,CUST_04400,2025-02-23,FW23,Massimo Dutti,Bottoms,physical_store,1,230.06,0.37,144.94,0
TXN_735463,CUST_03939,2025-01-17,SS23,Stradivarius,Bottoms,loyalty_program,3,141.53,0.15,360.9,0
TXN_625021,CUST_05983,2025-10-18,SS24,Bershka,Underwear,instagram_shop,2,275.67,0.0,551.34,0
TXN_716886,CUST_00583,2025-04-19,FW24,Zara,Dresses,instagram_shop,4,151.96,0.26,449.8,1
TXN_908735,CUST_07480,2025-11-21,SS24,Massimo Dutti,Sportswear,loyalty_program,2,231.25,0.38,286.75,0
TXN_871399,CUST_02021,2024-05-23,FW23,Bershka,Tops,physical_store,1,198.75,0.37,125.21,0
TXN_814149,CUST_01207,2024-05-22,SS24,Uniqlo,Jewelry,email_campaign,2,85.78,0.18,140.68,0
TXN_503017,CUST_03257,2026-04-24,SS23,Massimo Dutti,Outerwear,instagram_shop,1,233.57,0.26,172.84,0
TXN_659102,CUST_05394,2025-02-23,FW24,COS,Footwear,loyalty_program,3,210.62,0.2,505.49,0
TXN_461122,CUST_06670,2026-02-04,FW23,Reserved,Outerwear,loyalty_program,1,194.48,0.31,134.19,0
TXN_615609,CUST_00012,2024-05-21,SS23,H&M,Underwear,email_campaign,3,11.85,0.07,33.06,0
TXN_492850,CUST_01526,2024-07-05,FW23,Uniqlo,Sportswear,mobile_app,3,222.57,0.07,620.97,1
TXN_310701,CUST_00483,2026-01-14,FW23,Uniqlo,Footwear,instagram_shop,4,174.45,0.09,635.0,0
TXN_183686,CUST_02401,2024-08-03,SS23,Pull&Bear,Dresses,physical_store,5,41.66,0.25,156.22,0
TXN_805486,CUST_06230,2025-05-21,SS23,Zara,Tops,physical_store,1,179.83,0.19,145.66,0
TXN_321321,CUST_04278,2024-06-24,SS23,Pull&Bear,Jewelry,email_campaign,5,238.86,0.02,1170.41,0
TXN_452898,CUST_03037,2024-12-25,SS24,Stradivarius,Outerwear,physical_store,4,229.49,0.24,697.65,0
TXN_446297,CUST_06604,2025-04-14,SS23,Zara,Sportswear,loyalty_program,5,26.59,0.14,114.34,0
TXN_393042,CUST_07791,2025-12-15,FW23,Stradivarius,Sportswear,email_campaign,1,184.54,0.35,119.95,0
TXN_769068,CUST_07844,2024-11-25,SS24,Zara,Accessories,ecommerce,4,201.46,0.0,805.84,0
TXN_875112,CUST_05018,2024-06-11,SS23,Stradivarius,Underwear,instagram_shop,4,77.72,0.19,251.81,0
TXN_645316,CUST_07178,2025-04-07,SS23,Mango,Sportswear,ecommerce,3,186.07,0.28,401.91,0
TXN_567965,CUST_07823,2024-06-16,SS23,Bershka,Bags,mobile_app,5,296.28,0.19,1199.93,0
TXN_193776,CUST_00864,2025-10-02,FW24,Zara,Bottoms,physical_store,2,228.43,0.26,338.08,0
