age,gender_enc,loyalty_tier_enc,preferred_channel_enc,country_enc,age_group_enc,last_purchase_days_ago,total_purchases,avg_order_value,total_revenue,email_open_rate,app_sessions_30d,returns_rate,support_tickets_12m,nps_score,omnichannel_flag,recency_score,frequency_score,monetary_score,revenue_per_purchase,engagement_index,risk_index,channel_diversity,discount_sensitivity,brand_loyalty_index,customer_id,churned
56,1,3,1,1,2.0,303,14,26.56,371.84,0.045,44,0.482,5,0.0,0,0.003289473684210526,2.70805020110221,5.921149373192956,24.78933333333333,0.30683333333333335,6,4.0,0.23285714285714287,0.2,CUST_00000,1
46,1,3,2,6,2.0,35,22,60.17,1323.74,0.043,3,0.179,3,8.0,0,0.027777777777777776,3.1354942159291497,7.188971492750307,57.55391304347826,0.0329,2,3.0,0.1788888888888889,0.125,CUST_00001,0
32,2,0,5,1,1.0,205,48,200.73,9635.04,0.132,52,0.1,7,9.0,0,0.0048543689320388345,3.8918202981106265,9.173265514826188,196.63346938775513,0.3862666666666667,5,5.0,0.20625,0.16666666666666666,CUST_00002,0
60,0,0,3,3,3.0,266,51,60.68,3094.68,0.127,36,0.134,1,3.0,1,0.003745318352059925,3.9512437185814275,8.037762870194564,59.51307692307692,0.5781000000000001,3,2.0,0.19666666666666666,0.25,CUST_00003,0
25,1,0,5,1,0.0,65,11,128.71,1415.81,0.509,46,0.051,2,6.0,1,0.015151515151515152,2.4849066497880004,7.256163144602947,117.98416666666667,0.7593666666666667,0,3.0,0.12333333333333334,0.25,CUST_00004,0
38,0,0,5,0,1.0,98,59,50.55,2982.45,0.116,6,0.237,1,1.0,1,0.010101010101010102,4.0943445622221,8.000835627981417,49.707499999999996,0.3748,0,3.0,0.21200000000000002,0.25,CUST_00005,0
56,1,3,1,4,2.0,185,14,395.79,5541.06,0.549,55,0.102,7,8.0,0,0.005376344086021506,2.70805020110221,8.620121551780775,369.40400000000005,0.5313666666666668,5,2.0,0.23666666666666666,0.3333333333333333,CUST_00006,0
36,0,1,5,8,1.0,238,7,22.25,155.75,0.299,47,0.129,7,9.0,0,0.0041841004184100415,2.0794415416798357,5.05465217951303,19.46875,0.40303333333333335,5,4.0,0.20500000000000002,0.2,CUST_00007,1
40,1,0,0,7,1.0,266,69,11.08,764.52,0.395,16,0.149,6,9.0,1,0.003745318352059925,4.248495242049359,6.640555341471007,10.921714285714286,0.5251666666666667,5,3.0,0.07333333333333333,0.3333333333333333,CUST_00008,0
28,0,3,5,0,1.0,232,58,111.72,6479.76,0.112,9,0.165,0,0.0,0,0.004291845493562232,4.07753744390572,8.776593066419712,109.8264406779661,0.09359999999999999,3,1.0,0.13,0.5,CUST_00009,1
28,0,0,5,8,1.0,109,40,98.29,3931.6,0.108,42,0.055,5,1.0,1,0.00909090909090909,3.713572066704308,8.277056063725457,95.89268292682927,0.6123999999999999,2,4.0,0.245,0.2,CUST_00010,0
41,0,0,0,4,1.0,178,25,12.85,321.25,0.716,13,0.185,5,4.0,0,0.00558659217877095,3.258096538021482,5.775327641819297,12.35576923076923,0.30146666666666666,2,4.0,0.29000000000000004,0.3333333333333333,CUST_00011,0
53,0,2,1,0,2.0,249,78,48.47,3780.66,0.349,54,0.073,7,3.0,1,0.004,4.3694478524670215,8.237918345653137,47.85645569620253,0.7646999999999999,5,4.0,0.27166666666666667,0.16666666666666666,CUST_00012,0
57,0,3,4,2,3.0,324,42,229.6,9643.2,0.305,55,0.44,4,8.0,1,0.003076923076923077,3.7612001156935624,9.174111977368897,224.26046511627908,0.7581666666666667,6,3.0,0.1175,0.2,CUST_00013,1
41,1,3,2,0,1.0,360,44,111.5,4906.0,0.149,44,0.28,0,4.0,0,0.002770083102493075,3.8066624897703196,8.498418036089904,109.02222222222223,0.33803333333333335,3,1.0,0.36,0.5,CUST_00014,0
20,0,0,1,6,0.0,5,5,15.89,79.45,0.068,17,0.312,3,7.0,1,0.16666666666666666,1.791759469228055,4.387635873438392,13.241666666666667,0.4337333333333333,3,5.0,0.20800000000000002,0.25,CUST_00015,1
39,1,0,5,3,1.0,157,28,10.78,301.84,0.041,48,0.052,7,1.0,1,0.006329113924050633,3.367295829986474,5.7132046132351055,10.408275862068965,0.6323000000000001,2,3.0,0.14,0.2,CUST_00016,1
19,0,0,4,7,0.0,230,76,199.22,15140.72,0.394,8,0.057,7,8.0,0,0.004329004329004329,4.343805421853684,9.625209126879547,196.63272727272727,0.17153333333333334,5,3.0,0.14,0.25,CUST_00017,1
41,0,0,2,5,1.0,116,60,27.68,1660.8,0.1,58,0.09,0,6.0,0,0.008547008547008548,4.110873864173311,7.415656631230881,27.22622950819672,0.41666666666666674,0,3.0,0.22499999999999998,0.2,CUST_00018,0
